"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed39";"f4";100;100;1,83759917486972e-08;-2,75203448073148e-08;-9,20152481204333e-10;-3,97105616037475e-09;9,15672547353419e-10;8,67068661901804e-10;-6,88301177691089e-09;-1,29793480577714e-08;1,5365625271647e-09;-1,91209226647746e-08;2,75203448073148e-08;16,264000000001
"elapsed40";"f4";500;10;4,08106748221808e-14;-6,94020595229016e-14;-7,91351507267298e-14;-1,86523341410639e-16;-1,83561727619823e-14;-4,24216004604375e-14;7,42718583657279e-16;6,31820870149651e-15;5,12060624405597e-16;-1,68436623553959e-14;7,91351507267298e-14;12,4830000000002
"elapsed41";"f4";500;30;6,6924199965374e-18;-1,90727882670453e-18;-1,60472300351341e-18;-2,49990946549904e-15;-7,17613997022661e-14;-7,34693030484205e-16;-8,73153831852386e-19;1,2113762799763e-14;-8,77413011296822e-18;3,39498684626114e-16;7,17613997022661e-14;27,1680000000015
"elapsed42";"f4";500;50;-2,25132911129541e-17;4,92821573444606e-16;3,12655950534695e-15;-6,32188436250942e-18;5,8409126220761e-18;-4,29895212820341e-17;-1,97598726926298e-15;1,62791024348598e-16;-1,34742702932864e-16;-3,03096863611995e-17;3,12655950534695e-15;42,402
"elapsed43";"f4";500;100;-2,61003050676205e-15;-2,23237941508181e-18;-2,69300423100475e-16;2,63829585847738e-16;-4,64058681851201e-15;1,44020975289685e-15;-5,12585486516523e-16;-2,24539782581946e-15;3,05341890287528e-15;-7,9792121934783e-17;4,64058681851201e-15;80,5769999999993
"elapsed44";"f4";1000;10;-3,44485057628474e-20;-4,79021688692035e-23;6,0264965211226e-20;-6,69420687630764e-23;-1,47465856527516e-20;-2,89152315287818e-21;4,19133375526583e-21;6,43708409616697e-21;-6,65964425997108e-23;4,0465991739521e-20;6,0264965211226e-20;23,2470000000012
"elapsed45";"f4";1000;30;-2,01973432112982e-23;-1,60880380542738e-25;-7,70296150649947e-22;4,80202941452365e-23;6,26286572462089e-24;-1,30092739805907e-20;7,69643221708779e-24;3,24121571999264e-21;-3,72842826709335e-24;-1,27015806519785e-21;1,30092739805907e-20;53,094000000001
"elapsed46";"f4";1000;50;3,33925016749725e-24;-8,46383523157915e-23;-3,89401983930302e-22;1,72092525358368e-23;-5,49860257039767e-22;9,58449289366355e-22;2,64980694971433e-21;3,35143465977139e-25;-2,14721959317373e-21;-3,00500992240999e-21;3,00500992240999e-21;84,3549999999996
"elapsed47";"f4";1000;100;7,83851175405776e-25;5,66989696495328e-27;3,77574349807712e-25;-4,58626150609686e-28;5,98376702985085e-27;-4,21665973416841e-29;3,55729446556106e-29;-2,42966846109113e-27;-9,71250116842216e-26;2,11692549997526e-28;7,83851175405776e-25;161,623
"elapsed48";"f5";100;10;-0,000216714145862968;0,00251457562329194;0,00149534223238277;0,00191460415149278;0,00156326752274802;0,00190531445765791;-0,00027150589059327;0,00125974497232981;0,00314076535124611;0,00425612836222572;8,9781988952519;2,39599999999882
"elapsed49";"f5";100;30;-0,00020227698935766;0,00649268570489982;0,00400708573161679;0,00259886590053164;-0,00519262281600645;0,00273821281167565;0,00550337517665602;-0,001936609812887;0,0114325203012864;0,00302051809504247;8,97657889350882;5,4940000000006
"elapsed50";"f5";100;50;0,00307633077353239;0,00173093040436506;0,00464331438392401;0,00918936282992363;-0,000590796232223511;0,000707469414174557;-0,00058907373547554;0,00544990226179361;0,00213396951109171;-0,00537622816264629;8,96594375540011;8,71199999999953
"elapsed51";"f5";100;100;-0,000974069745151255;-0,00123051954890393;0,0027184584130518;0,00576236320182775;0,00105196872954597;0,000638578118383884;0,00525815377302435;0,000864963931135227;0,00590260287566886;0,000717524149102214;8,97083333009616;16,4759999999987
"elapsed52";"f5";500;10;0,374829863701265;0,134828610968375;0,0365430030266196;0,0413877992680423;0,0139559732040827;0,0310855668270835;0,0188619579183536;0,0111486087973506;-0,000185447396401315;0,00701537819842115;8,19482982140397;11,8970000000008
"elapsed53";"f5";500;30;0,443262420027616;0,194070083567224;0,000459905637284844;0,00599284249058505;0,0161286536605048;0,0115804036113133;0,00353667332898773;0,00583813081675371;0,00586076985601872;-0,00188013150966805;8,05080305497904;27,1949999999997
"elapsed54";"f5";500;50;0,707160173901178;0,534018073878356;0,30917130890128;0,103588154434056;0,055996651773362;-0,0119739615295389;0,00497894555444378;0,000234711823042267;0,00949203911260309;-0,00501706872980539;6,89051569080006;43,4300000000003
"elapsed55";"f5";500;100;0,636854647661604;0,396537200616695;0,139407223308642;0,00712762659566647;0,0285751597918478;0,0384086010301213;0,00131882535615815;0,00355712016301445;-0,00656151928362091;-0,00109934645387109;7,37774622250906;84,6129999999994
"elapsed56";"f5";1000;10;0,442058289503381;0,193485915724774;0,00101645168580482;0,00911042083463206;0,0031961455669144;0,00988198160768075;0,00781311505762247;0,0102287212400989;0,0102409651873712;0,00542359382846331;8,04067413277872;23,6029999999992
"elapsed57";"f5";1000;30;0,694545345881725;0,493140132695333;0,237803023559562;0,0449995694009739;-0,00193648048493998;0,0164661818500518;0,000617941818670831;0,00822258493108131;0,00587795959481863;-0,00229482938994174;6,85221253943403;54,9369999999999
"elapsed58";"f5";1000;50;0,465637820165761;0,2117787955366;0,00583668680678716;0,0118177258093335;0,00635156745715908;0,0094429339062791;0,0169523020241415;0,011081193154062;0,000869235436309549;-0,00220615453186598;8,00480734400836;86,509
"elapsed59";"f5";1000;100;0,800977702685062;0,64009141468894;0,417176115376751;0,179282813450361;-0,0081818077978661;0,0344557900624254;0,018553668453918;0,0180740199594208;0,0278023263757104;0,00547408076313232;6,43238652964962;166,616
"elapsed60";"f6";100;10;-0,770850746828253;-0,490277039795381;-0,306105893782461;-0,0852578231662134;-0,185889057135986;-0,263568046707217;-0,702148416996136;-0,434068496744228;-0,343423184305358;-0,308374185725611;0,544074111173056;2,51199999999881
"elapsed61";"f6";100;30;-0,320432217759562;-0,645899961094412;-0,446716901098462;-0,207745557249159;-0,573291573140533;-0,648935728202725;-0,321004500011822;-0,542108920295111;-0,243853066066935;-0,359351733556264;0,288542377632322;5,30799999999908
"elapsed62";"f6";100;50;-0,483784338648523;-0,420285250177458;-0,451978772624542;-0,439368445073942;-0,650204860676569;-0,432471871211435;-0,487089508321527;-0,388659854952835;-0,435578127412326;-0,475008431958743;0,0570592259276525;8,53499999999985
"elapsed63";"f6";100;100;-0,354788197434154;-0,37288867990051;-0,574124337345459;-0,275826759865781;-0,385163128537736;-0,393112019124212;-0,419111593367396;-0,441590364229762;-0,472124287724006;-0,3593388437412;0,148121597877308;16,2150000000001
"elapsed64";"f6";500;10;-0,477939674113907;-0,509040791471066;-0,437966020654401;-0,14751000062714;-0,470201325890117;-0,45537959229454;-0,600803279375321;-0,421250552370321;-0,402531071288848;-0,407384727438926;0,165985307312921;11,9110000000001
"elapsed65";"f6";500;30;-0,510480045317666;-0,526870744659956;-0,471103158921755;-0,512386961323483;-0,425889182076972;-0,475085202375579;-0,475727888987096;-0,551257951786698;-0,503709194710375;-0,506810187330727;0,011210142748727;26,4939999999988
"elapsed66";"f6";500;50;-0,516088275852031;-0,482319410219659;-0,486957420945764;-0,555446414927521;-0,556311575507392;-0,605232820884332;-0,509313478940404;-0,516284693974307;-0,458293323802304;-0,548242564721671;0,0224795138371654;41,9200000000001
"elapsed67";"f6";500;100;-0,475539147856994;-0,501508690120266;-0,518209982966892;-0,485700426362437;-0,50455497391762;-0,501119571224375;-0,546235108399734;-0,564120502624237;-0,509240999314974;-0,478686120244622;0,00794749359051424;81,128999999999
"elapsed68";"f6";1000;10;-0,44496421020171;-0,568407561323905;-0,49378367103891;-0,577197976847904;-0,52801856898642;-0,546630382784905;-0,526923407745635;-0,485169273152597;-0,506745098592973;-0,471566766285943;0,018464901264808;23,1700000000001
"elapsed69";"f6";1000;30;-0,551047046489384;-0,5202399040468;-0,460318907550996;-0,557094709324077;-0,458708916047924;-0,435167129657417;-0,463807367153763;-0,478060533357861;-0,518609193525255;-0,506604237301011;0,0159392691955283;53,7559999999994
