"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed75";"f7";100;100;-5,11805930297009e-07;-5,95015277899848e-07;9,19524168882287e-08;-1,98806928005091e-08;1,31343379091302e-07;-1,2545881199982e-07;1,9562416189945e-07;9,23243177506007e-08;-2,99311795481558e-07;9,5998163091116e-08;0,964253678917885;0,209999999999994
"elapsed76";"f7";500;10;-3,82193863527639e-16;-3,48167548674559e-16;-5,88927577444855e-16;8,81354926362788e-16;9,77135130612858e-17;7,15670476105439e-17;-6,87712762749602e-16;1,56866149399108e-15;3,56018965976979e-16;9,57293700131555e-16;0,692080894019455;0,150000000000006
"elapsed77";"f7";500;30;1,25034258087234e-44;-4,61823732302873e-44;-2,7977998331483e-44;-4,53668842798068e-44;-2,31531823054538e-44;-1,40697351198515e-44;3,40124369384816e-46;1,64445073766657e-44;1,80260820912985e-45;2,16454529619372e-44;0,828855163883418;0,299999999999997
"elapsed78";"f7";500;50;4,39443229537217e-93;-2,86387602967514e-93;-8,47675963967688e-92;-1,16549284351243e-92;-2,01819299146406e-92;1,6995115868986e-92;-1,99103559828051e-92;1,78632005833163e-92;-5,95515821618249e-93;4,04367804866852e-93;0,586047325050458;0,390000000000001
"elapsed79";"f7";500;100;-4,44208542060432e-09;-6,9507076214877e-08;-5,24998425605157e-08;-8,83472124630911e-09;-8,36798302727166e-09;4,92147968987035e-08;-6,44748169800829e-08;1,70199287431738e-07;5,44788509379209e-08;-4,35735062817481e-08;0,975987099576741;0,700000000000003
"elapsed80";"f7";1000;10;-2,79443995432599e-145;-8,73838042506771e-145;4,19756138656943e-144;6,22427012750352e-145;7,61236691421384e-145;1,95893005330816e-144;-1,45452576304074e-144;-1,11686207712111e-144;-3,24710983691709e-144;-4,29494717824491e-144;0,478442958556116;0,280000000000001
"elapsed81";"f7";1000;30;-3,33793450719596e-63;-1,43239830475811e-63;4,06721175284756e-63;5,76219443911535e-63;-1,7503874816699e-62;2,46989644606639e-64;-8,14497659566698e-63;2,14071523350988e-63;-8,12992941772645e-63;1,78708071784226e-63;0,35127753438428;0,549999999999997
"elapsed82";"f7";1000;50;-5,20636807630168e-05;1,27821611813333e-05;-3,60702115935976e-05;6,029681597697e-06;-2,03898096813492e-05;-3,75440412382795e-05;-8,07318953243647e-05;5,89980046521899e-06;7,39957893874004e-05;2,10272683236252e-05;0,336945702787489;0,840000000000003
"elapsed83";"f7";1000;100;1,41281989348012e-09;-6,97930285724238e-10;-5,05706718339481e-09;1,34573175296941e-10;7,63043202247714e-10;1,10530821759968e-09;3,07831767423121e-10;-4,57816494270018e-10;1,42711357907194e-09;-1,7525439226208e-09;0,160199622390792;1,44999999999999
"elapsed84";"f8";100;10;-470,4380184412;420,143475523219;-301,306606503204;37,3749763239175;-240,952569525689;365,333466324955;-262,115121819079;213,15914997831;407,908716471866;-293,742312118411;-1625,06931546563;0,0300000000000011
