"","X","fungsi","iterasi","populasi","numVar","scalingVector","crossOverRate","optimum","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","time"
"57",57,"f5",1000,10,5,0.5,0.5,1651.73697120903,1.52055159152951,-0.434405726264231,-0.974034293903969,-1.34367754217237,3.30542226846546,0,0,0,0,0,9.72000000000025
"58",58,"f5",1000,30,5,0.5,0.5,8248.60759372303,3.06604645040352,1.80716687551467,2.75497067486867,5.29877128370572,23.7123085273197,0,0,0,0,0,24.5299999999997
"59",59,"f5",1000,50,5,0.5,0.5,31348.3118257437,4.34041247935966,3.50992958585266,3.65724370465614,13.9816535962746,194.408332749736,0,0,0,0,0,38.8900000000003
"60",60,"f5",1000,100,5,0.5,0.5,1435.57266656456,-1.16436110385621,0.0653577002140082,1.92873183055781,3.63103868148755,10.2102601812931,0,0,0,0,0,75.3299999999999
"61",61,"f6",100,10,5,0.5,0.5,748.674417347241,-0.294495740672573,-1.42558586849191,-13.3262535207905,-10.7892297906801,-22.3493580473587,0,0,0,0,0,0.9699999999998
"62",62,"f6",100,30,5,0.5,0.5,1772.06855935517,1.2590397731401,27.1721710450947,-23.5210799844936,8.13896844920237,19.4655550527386,0,0,0,0,0,2.73000000000002
"63",63,"f6",100,50,5,0.5,0.5,823.132017195126,12.942323484458,-5.9453567257151,2.97184202354401,23.3196899527684,-6.27518226392567,0,0,0,0,0,4.67000000000007
"64",64,"f6",100,100,5,0.5,0.5,584.414431858796,5.76904232148081,13.3632234603283,1.72819785657339,8.31297971308231,15.940532181412,0,0,0,0,0,8.78999999999996
"65",65,"f6",500,10,5,0.5,0.5,1326.86248378913,-4.10009378374525,-12.4628471217875,1.66458341991529,-18.8085902482271,-29.3253742216621,0,0,0,0,0,4.86999999999989
"66",66,"f6",500,30,5,0.5,0.5,424.862726777228,8.29518882237608,-4.18667481571902,-2.05109376674955,17.2232071403414,-4.67107251752168,0,0,0,0,0,13.9900000000002
"67",67,"f6",500,50,5,0.5,0.5,1039.44287746042,-15.4522916534916,-16.1094466573559,2.28329254314303,-3.21112311212346,-24.1033921483904,0,0,0,0,0,20.8099999999999
"68",68,"f6",500,100,5,0.5,0.5,125.961754024425,-0.104329627356492,-0.441423127449525,7.11829562205821,0.216306240417907,7.70062466617674,0,0,0,0,0,38.6399999999999
"69",69,"f6",1000,10,5,0.5,0.5,3586.95782401887,-59.2745830334025,6.10177684575319,1.4003025367856,-9.72938560880721,-0.860620714956895,0,0,0,0,0,9.13999999999987
"70",70,"f6",1000,30,5,0.5,0.5,458.723783196003,12.5536602259672,3.74478203302715,-11.6934976020275,-4.09115563425075,10.9942061943002,0,0,0,0,0,24.5500000000002
